Open Time,Open,High,Low,Close,Volume
1735034400000,94068.01000000,94194.07000000,93840.00000000,93972.01000000,389.62902000
1735038000000,93972.01000000,94425.70000000,93934.69000000,94398.60000000,466.22641000
1735041600000,94398.60000000,94410.39000000,94075.10000000,94304.32000000,421.20785000
1735045200000,94305.84000000,96094.00000000,94289.24000000,96085.02000000,1620.10206000
1735048800000,96085.02000000,97498.64000000,95864.50000000,97465.06000000,2637.73752000
1735052400000,97465.06000000,98300.00000000,97235.55000000,98300.00000000,2291.31734000
1735056000000,98299.99000000,98666.00000000,97964.00000000,98496.23000000,2172.24903000
1735059600000,98496.23000000,99030.72000000,98325.78000000,98797.47000000,1789.42098000
1735063200000,98797.47000000,99487.99000000,98418.16000000,98618.66000000,1479.28279000
1735066800000,98618.66000000,98743.52000000,97546.57000000,97581.09000000,1005.96025000
1735070400000,97581.10000000,98056.27000000,97250.00000000,97298.01000000,1248.65596000
1735074000000,97298.02000000,98462.28000000,97277.90000000,98397.96000000,791.97528000
1735077600000,98397.95000000,99068.90000000,98355.43000000,98777.11000000,751.43045000
1735081200000,98777.10000000,99019.10000000,98492.67000000,98663.58000000,393.46776000
1735084800000,98663.58000000,98878.44000000,98393.60000000,98418.42000000,715.42470000
1735088400000,98418.42000000,98597.60000000,97901.08000000,97983.18000000,598.00500000
1735092000000,97983.17000000,98353.99000000,97725.27000000,98131.07000000,593.82651000
1735095600000,98131.07000000,98280.02000000,97930.53000000,98029.48000000,439.76979000
1735099200000,98029.49000000,98354.39000000,97875.91000000,98236.01000000,336.98364000
1735102800000,98236.01000000,98360.65000000,98159.09000000,98279.28000000,255.48309000
1735106400000,98279.28000000,98581.90000000,97844.18000000,97884.38000000,454.70940000
1735110000000,97884.39000000,98366.79000000,97873.49000000,98084.33000000,407.46219000
1735113600000,98084.33000000,98271.76000000,97926.99000000,98069.71000000,389.90170000
1735117200000,98069.72000000,98265.07000000,98007.69000000,98189.54000000,332.61032000
1735120800000,98189.55000000,99349.31000000,98145.75000000,98457.00000000,1287.95699000
1735124400000,98456.99000000,98866.77000000,97773.83000000,97907.61000000,1015.89784000
1735128000000,97907.61000000,98610.11000000,97632.02000000,98176.03000000,1309.05980000
1735131600000,98176.02000000,98609.89000000,98131.85000000,98462.56000000,455.54429000
1735135200000,98462.57000000,98832.89000000,98257.32000000,98710.00000000,550.83181000
1735138800000,98710.00000000,98724.00000000,98202.43000000,98519.98000000,527.91917000
1735142400000,98519.99000000,98696.40000000,98134.40000000,98425.51000000,508.99836000
1735146000000,98425.50000000,98659.00000000,98185.21000000,98570.82000000,344.11537000
1735149600000,98570.82000000,98978.18000000,98544.22000000,98756.26000000,567.60019000
1735153200000,98756.26000000,99299.99000000,98734.66000000,99018.52000000,674.13162000
1735156800000,99018.52000000,99400.00000000,98870.95000000,99144.62000000,542.46107000
1735160400000,99144.62000000,99555.00000000,98384.61000000,98506.36000000,873.33545000
1735164000000,98506.37000000,99100.00000000,98434.78000000,98811.16000000,466.68630000
1735167600000,98811.16000000,99569.15000000,98811.16000000,99429.60000000,825.45050000
1735171200000,99429.61000000,99963.70000000,98955.77000000,99028.66000000,1112.66226000
1735174800000,99028.66000000,99250.00000000,98590.00000000,99057.01000000,842.68396000
1735178400000,99057.02000000,99194.21000000,98468.26000000,98750.34000000,755.75962000
1735182000000,98750.34000000,99167.12000000,98576.77000000,98995.17000000,627.92857000
1735185600000,98995.18000000,98995.18000000,98255.00000000,98300.00000000,629.92754000
1735189200000,98300.00000000,98460.00000000,98076.58000000,98375.01000000,634.59553000
1735192800000,98375.01000000,98484.00000000,98023.10000000,98121.20000000,471.41543000
1735196400000,98121.21000000,98292.00000000,97711.17000000,97719.99000000,802.99524000
1735200000000,97719.99000000,97772.13000000,95616.18000000,95878.56000000,3318.24181000
1735203600000,95878.56000000,95978.52000000,95420.26000000,95439.25000000,1084.30994000
1735207200000,95439.40000000,95777.40000000,95199.14000000,95500.02000000,836.54692000
1735210800000,95500.02000000,96035.50000000,95469.53000000,95695.81000000,817.15898000
1735214400000,95695.81000000,95880.60000000,95462.57000000,95680.71000000,526.11877000
1735218000000,95680.71000000,95772.90000000,95288.00000000,95704.44000000,919.98638000
1735221600000,95704.45000000,96280.25000000,95234.93000000,95449.36000000,1656.27872000
1735225200000,95449.36000000,96216.91000000,95270.00000000,96042.88000000,1165.18448000
1735228800000,96042.89000000,96621.95000000,95816.86000000,96519.47000000,1018.76508000
1735232400000,96519.47000000,96547.99000000,95680.00000000,95824.27000000,772.56303000
1735236000000,95824.27000000,95986.40000000,95458.66000000,95743.44000000,530.95010000
1735239600000,95743.44000000,96198.58000000,95444.44000000,96102.25000000,569.90971000
1735243200000,96102.24000000,96114.46000000,95400.00000000,95589.60000000,630.68028000
1735246800000,95589.60000000,95933.74000000,95302.00000000,95812.63000000,597.64881000
1735250400000,95812.63000000,95963.86000000,95625.00000000,95821.92000000,326.30061000
1735254000000,95821.92000000,95887.99000000,95372.32000000,95791.60000000,543.75550000
1735257600000,95791.60000000,95930.39000000,95401.03000000,95794.56000000,627.70553000
1735261200000,95794.55000000,96250.00000000,95575.07000000,95917.03000000,726.33893000
1735264800000,95917.02000000,96443.68000000,95718.75000000,96073.77000000,973.05088000
1735268400000,96073.77000000,96443.00000000,95982.51000000,96417.84000000,608.14876000
